FinalID,EffectiveEffortLevel_SAFIT1,EffectiveEffortLevel_SAFIT2,Class,Order,ToleranceValue,FunctionalFeedingGroup
Americorophium,Americorophium,Americorophium,Malacostraca,Amphipoda,4,CF
Americorophium lacustre,Americorophium,Americorophium,Malacostraca,Amphipoda,4,CF
Americorophium salmonis,Americorophium,Americorophium,Malacostraca,Amphipoda,,CF
Americorophium spinicorne,Americorophium,Americorophium,Malacostraca,Amphipoda,4,CF
Americorophium stimpsoni,Americorophium,Americorophium,Malacostraca,Amphipoda,4,CF
Ametor,Ametor,Ametor,Insecta,Coleoptera,5,CG
Ametor,Ametor,Ametor,Insecta,Coleoptera,5,P
Ametor latus,Ametor,Ametor,Insecta,Coleoptera,5,P
Ametor latus,Ametor,Ametor,Insecta,Coleoptera,5,CG
Ametor scabrosus,Ametor,Ametor,Insecta,Coleoptera,5,CG
Ametor scabrosus,Ametor,Ametor,Insecta,Coleoptera,5,P
Ametropus,Ametropus,Ametropus,Insecta,Ephemeroptera,,CG
Ametropus ammophilus,Ametropus ammophilus,Ametropus ammophilus,Insecta,Ephemeroptera,,CG
Amiocentrus,Amiocentrus,Amiocentrus,Insecta,Trichoptera,3,CG
Amiocentrus aspilus,Amiocentrus aspilus,Amiocentrus aspilus,Insecta,Trichoptera,3,CG
Amnicola,Amnicola,Amnicola,Gastropoda,Hypsogastropoda,5,SC
Amnicola limosa,Amnicola,Amnicola,Gastropoda,Hypsogastropoda,5,SC
Amnicolidae,Amnicolidae,Amnicolidae,Gastropoda,Hypsogastropoda,5,SC
Amphiagrion,Amphiagrion,Amphiagrion,Insecta,Odonata,5,P
Amphiagrion abbreviatum,Amphiagrion,Amphiagrion,Insecta,Odonata,5,P
Amphicosmoecus,Amphicosmoecus,Amphicosmoecus,Insecta,Trichoptera,1,SH
Amphicosmoecus canax,Amphicosmoecus canax,Amphicosmoecus canax,Insecta,Trichoptera,1,SH
Amphinemura,Amphinemura,Amphinemura,Insecta,Plecoptera,2,SH
Amphinemura apache,Amphinemura,Amphinemura,Insecta,Plecoptera,2,SH
Amphinemura mogollonica,Amphinemura,Amphinemura,Insecta,Plecoptera,2,SH
Amphinemura venusta,Amphinemura,Amphinemura,Insecta,Plecoptera,2,SH
Amphipoda,Amphipoda,Amphipoda,Malacostraca,Amphipoda,4,CG
Amphizoa,Amphizoa,Amphizoa,Insecta,Coleoptera,1,P
Amphizoa insolens,Amphizoa,Amphizoa,Insecta,Coleoptera,1,P
Amphizoa lecontei,Amphizoa,Amphizoa,Insecta,Coleoptera,1,P
Amphizoa striata,Amphizoa,Amphizoa,Insecta,Coleoptera,1,P
Amphizoidae,Amphizoidae,Amphizoidae,Insecta,Coleoptera,1,P
Ampumixis,Ampumixis,Ampumixis,Insecta,Coleoptera,4,CG
Ampumixis dispar,Ampumixis dispar,Ampumixis dispar,Insecta,Coleoptera,4,CG
Anabolia,Anabolia,Anabolia,Insecta,Trichoptera,4,SH
Anabolia bimaculata,Anabolia bimaculata,Anabolia bimaculata,Insecta,Trichoptera,4,SH
Anacaena,Anacaena,Anacaena,Insecta,Coleoptera,5,CG
Anacaena,Anacaena,Anacaena,Insecta,Coleoptera,5,P
Anacaena limbata,Anacaena,Anacaena,Insecta,Coleoptera,5,P
Anacaena limbata,Anacaena,Anacaena,Insecta,Coleoptera,5,CG
Anacaena signaticollis,Anacaena,Anacaena,Insecta,Coleoptera,5,P
Anacaena signaticollis,Anacaena,Anacaena,Insecta,Coleoptera,5,CG
Anacroneuria,Anacroneuria,Anacroneuria,Insecta,Plecoptera,4,P
Anacroneuria wipukupa,Anacroneuria,Anacroneuria wipukupa,Insecta,Plecoptera,4,P
Anagapetus,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anagapetus aisha,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anagapetus bernea,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anagapetus chandleri,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anagapetus debilis,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anagapetus hoodi,Anagapetus,Anagapetus,Insecta,Trichoptera,0,SC
Anax,Anax,Anax,Insecta,Odonata,8,P
Anax junius,Anax,Anax,Insecta,Odonata,8,P
Anax walsinghami,Anax,Anax,Insecta,Odonata,8,P
Anchycteis,Anchycteis,Anchycteis,Insecta,Coleoptera,,SH
Anchycteis velutina,Anchycteis velutina,Anchycteis velutina,Insecta,Coleoptera,,SH
Ancylidae,Ancylidae,Ancylidae,Gastropoda,Basommatophora,6,SC
Anisitsiellidae,Anisitsiellidae,Anisitsiellidae,Arachnida,Trombidiformes,5,P
Anisogammaridae,Anisogammaridae,Anisogammaridae,Malacostraca,Amphipoda,4,CG
Annelida,Annelida,Annelida,,,,CG
Anodonta,Anodonta,Anodonta,Bivalvia,Unionoida,8,CF
Anodonta californiensis,Anodonta,Anodonta,Bivalvia,Unionoida,8,CF
Anodonta couperiana,Anodonta,Anodonta,Bivalvia,Unionoida,8,CF
Anodonta dejecta,Anodonta,Anodonta,Bivalvia,Unionoida,,CF
Anodonta kennerlyi,Anodonta,Anodonta,Bivalvia,Unionoida,,CF
Anodonta nuttalliana,Anodonta,Anodonta,Bivalvia,Unionoida,,CF
Anodonta oregonense,Anodonta,Anodonta,Bivalvia,Unionoida,8,CF
Anopheles,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles franciscanus,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles freeborni,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles hermsi,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles judithae,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles occidentalis,Anopheles,Anopheles,Insecta,Diptera,8,CG
Anopheles punctipennis,Anopheles,Anopheles,Insecta,Diptera,8,CG
Antichaeta,Antichaeta,Antichaeta,Insecta,Diptera,6,P
Antocha,Antocha,Antocha,Insecta,Diptera,3,CG
Antocha monticola,Antocha,Antocha,Insecta,Diptera,3,CG
Apanisagrion,Apanisagrion,Apanisagrion,Insecta,Odonata,9,P
Apanisagrion lais,Apanisagrion lais,Apanisagrion lais,Insecta,Odonata,9,P
Apatania,Apatania,Apatania,Insecta,Trichoptera,1,SC
Apatania arizona,Apatania,Apatania,Insecta,Trichoptera,1,SC
Apatania chasica,Apatania,Apatania,Insecta,Trichoptera,1,SC
Apatania sorex,Apatania,Apatania,Insecta,Trichoptera,1,SC
Apatania tavala,Apatania,Apatania,Insecta,Trichoptera,1,SC
Apataniidae,Apataniidae,Apataniidae,Insecta,Trichoptera,1,SC
Apatolestes,Apatolestes,Apatolestes,Insecta,Diptera,8,P
Apedilum,Chironomidae,Apedilum,Insecta,Diptera,6,CG
Apedilum elachista,Chironomidae,Apedilum,Insecta,Diptera,6,CG
Apedilum subcinctum,Chironomidae,Apedilum,Insecta,Diptera,6,CG
Apsectrotanypus,Chironomidae,Apsectrotanypus,Insecta,Diptera,6,P
Apsectrotanypus algens,Chironomidae,Apsectrotanypus,Insecta,Diptera,6,P
Apsectrotanypus florens,Chironomidae,Apsectrotanypus,Insecta,Diptera,6,P
Apsectrotanypus johnsoni,Chironomidae,Apsectrotanypus,Insecta,Diptera,6,P
Apteraliplus,Apteraliplus,Apteraliplus,Insecta,Coleoptera,5,MH
Apteraliplus parvulus,Apteraliplus parvulus,Apteraliplus parvulus,Insecta,Coleoptera,5,MH
Aquarius,Aquarius,Aquarius,Insecta,Hemiptera,,P
Aquarius amplus,Aquarius,Aquarius,Insecta,Hemiptera,,P
Aquarius nyctalis,Aquarius,Aquarius,Insecta,Hemiptera,,P
Aquarius remigis,Aquarius,Aquarius,Insecta,Hemiptera,,P
Araeopidius,Araeopidius,Araeopidius,Insecta,Coleoptera,,SH
Araeopidius monochus,Araeopidius monochus,Araeopidius monochus,Insecta,Coleoptera,,SH
Archilestes,Archilestes,Archilestes,Insecta,Odonata,9,P
Archilestes californica,Archilestes,Archilestes,Insecta,Odonata,9,P
Archilestes grandis,Archilestes,Archilestes,Insecta,Odonata,9,P
Arcteonais,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Arcteonais lomondi,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Arctitalitus,Arctitalitus,Arctitalitus,Malacostraca,Amphipoda,8,CG
Arctitalitus sylvaticus,Arctitalitus,Arctitalitus,Malacostraca,Amphipoda,8,CG
Arctocorisa,Arctocorisa,Arctocorisa,Insecta,Hemiptera,8,P
Arctocorisa sutilis,Arctocorisa sutilis,Arctocorisa sutilis,Insecta,Hemiptera,8,P
Arctopsyche,Arctopsyche,Arctopsyche,Insecta,Trichoptera,1,P
Arctopsyche californica,Arctopsyche,Arctopsyche californica,Insecta,Trichoptera,2,P
Arctopsyche grandis,Arctopsyche,Arctopsyche grandis,Insecta,Trichoptera,1,P
Arctopsychinae,Hydropsychidae,Hydropsychidae,Insecta,Trichoptera,,P
Argia,Argia,Argia,Insecta,Odonata,7,P
Argia agrioides,Argia,Argia,Insecta,Odonata,7,P
Argia alberta,Argia,Argia,Insecta,Odonata,7,P
Argia emma,Argia,Argia,Insecta,Odonata,7,P
Argia fumipennis,Argia,Argia,Insecta,Odonata,7,P
Argia hinei,Argia,Argia,Insecta,Odonata,7,P
Argia immunda,Argia,Argia,Insecta,Odonata,7,P
Argia lacrimans,Argia,Argia,Insecta,Odonata,7,P
Argia lugens,Argia,Argia,Insecta,Odonata,7,P
Argia moesta,Argia,Argia,Insecta,Odonata,7,P
Argia munda,Argia,Argia,Insecta,Odonata,7,P
Argia nahuana,Argia,Argia,Insecta,Odonata,7,P
Argia oenea,Argia,Argia,Insecta,Odonata,7,P
Argia pallens,Argia,Argia,Insecta,Odonata,7,P
Argia pima,Argia,Argia,Insecta,Odonata,7,P
Argia plana,Argia,Argia,Insecta,Odonata,7,P
Argia sabino,Argia,Argia,Insecta,Odonata,7,P
Argia sedula,Argia,Argia,Insecta,Odonata,7,P
Argia tarascana,Argia,Argia,Insecta,Odonata,7,P
Argia tezpi,Argia,Argia,Insecta,Odonata,7,P
Argia tonto,Argia,Argia,Insecta,Odonata,7,P
Argia translata,Argia,Argia,Insecta,Odonata,7,P
Argia vivida,Argia,Argia,Insecta,Odonata,7,P
Arrenuridae,Arrenuridae,Arrenuridae,Arachnida,Trombidiformes,5,P
Arrenurus,Arrenurus,Arrenurus,Arachnida,Trombidiformes,5,P
Asellidae,Asellidae,Asellidae,Malacostraca,Isopoda,8,CG
Asellus,Asellus,Asellus,Malacostraca,Isopoda,8,CG
Asellus hilgendorfi,Asellus,Asellus,Malacostraca,Isopoda,8,CG
Asioplax,Asioplax,Asioplax,Insecta,Ephemeroptera,4,CG
Asioplax edmundsi,Asioplax,Asioplax,Insecta,Ephemeroptera,4,CG
Astacidae,Astacidae,Astacidae,Malacostraca,Decapoda,8,OM
Asynarchus,Asynarchus,Asynarchus,Insecta,Trichoptera,4,SH
Asynarchus aldinus,Asynarchus,Asynarchus,Insecta,Trichoptera,4,SH
